tipo,nombre,direccion,telefono,nro_habitaciones,responsable,nro_plazas,categoria,servicios,web,email
Hotel,Americano,Francisco Tamariz 114 y Av. Heroes de Verdeloma,5937-2837882,12,ND,18,Segunda,Cafeteria parqueo lavanderia asesoria turistica ,www.hotelamericanocuenca.com, hotelamericanocuenca@gmail.com
Hotel,Atahualpa,M Sucre 3-50 y Tomas Ordonez,5937-2842345,24,ND,49,Segunda,Restaurante TV por cable e internet inalambrico en cada habitacion salon de recepciones parqueadero interior caja de seguridad servicio medico servicio de lavanderia y fax ,www.ubicacuenca.com  info hotelatahualpa, hotelatahualpa@hotmail.com
Hotel,Casa de Lidice,General Torres 11-69 entre Gaspar Sangurima y Mariscal Lamar,5937-2825698,10,ND,25,ND,Wi-Fi bano privado (agua caliente) TV por cable telefono cafeteria lavanderia y espacios comunales ,www.casadelidice.com, casadelidice@gmail.com
Hotel,Cuatro Mundos,Benigno Malo 10-70 entre Mariscal Lamar y Gran Colombia,5937-2837058,20,ND,100,Segunda,Restaurante salon de eventos y negocios habitaciones con camas dobles TV (LCD) satelital Wi-Fi 24 horas banos privados(agua caliente) servicio de tours personalizados ,ND, hotelcuatromundos@hotmail.com
Hotel,Cuenca Suites Apart-hotel,Simon Bolivar 14-65 y Coronel Talbot,5937-2848138,12,ND,30,Segunda,Limpieza diaria parqueadero propio cafeteria Todas la suites cuentan con cocinada equipada mini refrigeradora extractor de olores digital cama Queen colchon ortopedico edredon y sabanas de alta calidad Wi-Fi DirecTV ,www.cuencasuites.com, info@cuencasuites.com
Hotel,Espana,Gaspar Sangurima 1-17 y Huayna Capac,5937-2831351,58,ND,86,Segunda,Restaurante cafeteria bar TV por cable desayuno cortesia del hotel Wi-Fi fax internet lavanderia servicio a la habitacion ,www.hotelespanaonline.com, reservas@hotelespanaonline.com
Hotel,Felicia Hotel y Suites,Luis Cordero 10-57 y Mariscal Lamar,5937-2846230,19,Jose Luis Gallardo,ND,4 Estrellas,ND,http: www.feliciahotelandsuits.com , reservas@feliciahotelandsuits.com
Hotel,Gran Hotel,General Torres 9-70 y Gran Colombia,5937-2831934,27,ND,40,Tercera,Desayuno incluido Wi-Fi cafeteria bar asesoria turistica servicio de lavanderia bano privado agua caliente 24 horas TV por cable ,www.granhoteldelasflorescuenca.com, granhotel@mail.com
Hotel,Hotel Alejandrina,Mariano Cueva 7-45 y Pres Cordova,5937-2850734,13,Garcia Farfan Edit Alexandra,36,Primera,Desayunos servicio de parqueadero Wi-Fi TV por cable ,www.alejandrinahotel.com.ec, reservas@alejandrinahotel.com
Hotel,Hotel Alli Tiana,Presidente Cordova y Padre Aguirre esq ,5937-2821955/0992577211,24,Mario Orellana GarcIa,41,Segunda,Wi-Fi bano privado TV por cable telefono cafeteria restaurante y lavanderia ,www.hotelallitiana.com.ec, hotelallitiana@hotmail.com
